,PRODUCT_NAME,sentiment_price_positive_num,sentiment_price_neutral_num,sentiment_price_negative_num,sentiment_price_positive_percent,sentiment_price_neutral_percent,sentiment_price_negative_percent
57,Ubtan Cleansing Milk with Turmeric & Saffron for Gentle Cleansing ï¿½ï¿½ï¿½,1,0,0,100,0,0
58,Rosehip Face Serum with Rosehip & Gotu Kola for Glowing Skin ï¿½ï¿½ï¿½,1,0,0,100,0,0
59,Apple Cider Vinegar Face Mask With Apple Cider Vinegar & Rosehip Oil for Clear and Glowing Skin ï¿½ï¿½ï¿½,2,0,0,100,0,0
60,"Milky Soft Natural Lip Balm for Babies with Oats, Milk & Calendula ï¿½ï¿½",0,0,1,0,0,100
61,10% Vitamin C Essence Serum with Vitamin C and Gotu Kola for Skin Illumination ï¿½ï¿½ï¿,6,0,0,100,0,0
62,Rice Wonder Water With Rice Water & Keratin For Detangled Hair in 7 Seconds - 100 ml,1,1,0,50,50,0
63,Aqua Glow Gel Face Moisturizer With Himalayan Thermal Water and Hyaluronic Acid for 72 Hours Hydration - 100ml,2,0,0,100,0,0
64,Aqua Glow Face Serum with Himalayan Thermal Water and Hyaluronic Acid - 30 ml,1,1,1,33.33333333,33.33333333,33.33333333
65,Natural Nourishing Bathing Soaps - 5x75g,2,0,0,100,0,0
66,Charcoal Nourishing Bathing Soap With Charcoal and Mint for Deep Cleansing - 5x75g,2,0,1,66.66666667,0,33.33333333
67,Milky Soft Diaper Rash Cream for Babies - 50g,1,0,0,100,0,0
68,"Milky Soft Body Lotion for Babies with Oats, Milk and Calendula - 400ml",1,0,0,100,0,0
69,Vitamin C Oil-Free Moisturizer For Face with Vitamin C and Gotu Kola for Skin Illumination - 80 ml,3,0,0,100,0,0
70,Tea Tree Oil-Free Face Moisturizer with Tea Tree and Salicylic Acid for Acne and Pimples - 80 ml,1,0,0,100,0,0
71,Skin Illuminate Face Serum for Radiant Skin with Vitamin C and Turmeric - 15g ,3,0,0,100,0,0
72,Tea Tree Spot Gel Face Cream with Tea Tree and Salicylic Acid For Acne and Pimples - 15 g ,2,0,0,100,0,0
73,Damage Repair Kit,1,0,0,100,0,0
74,Ubtan Ultra Light Gel Oil-Free Moisturizer with Turmeric and Saffron for Deep Hydration - 200 ml,4,0,0,100,0,0
75,Ubtan Foaming Face Wash with Turmeric and Saffron for Tan Removal - 150ml,2,0,0,100,0,0
76,Rice Water Shampoo For Damage Repair - 250ml,2,0,0,100,0,0
77,Ubtan Body Wash With Turmeric and Saffron for Glowing Skin - 300 ml,1,0,0,100,0,0
78,Charcoal Body Wash With Charcoal and Mint for Deep Cleansing - 300 ml,2,0,0,100,0,0
79,Vitamin C Body Wash with Vitamin C and Honey for Skin Illumination - 300ml,1,0,0,100,0,0
80,"Retinol Night Cream For Women with Retinol and Bakuchi for Anti Aging, Fine Lines and Wrinkles - 50 g",2,0,0,100,0,0
81,Niacin Face Toner with Niacinamide and Witch Hazel for Acne and Open Pores - 200 ml,1,0,0,100,0,0
82,Tea Tree Foaming Face Wash with Tea Tree and Salicylic Acid for Acne and Pimples - 150ml,6,0,0,100,0,0
83,Tea Tree Face Serum for Acne and Pimples - 30 ml,1,0,0,100,0,0
84,Vitamin C Skincare Regimen Kit,1,1,0,50,50,0
85,Tea Tree Hair Oil with Tea Tree and Ginger Oil for Dandruff Free Hair - 250ml,2,0,0,100,0,0
86,Ubtan Night Face Mask with Turmeric and Niacinamide for Glowing Skin - 100 g,1,0,0,100,0,0
87,Retinol Bamboo Sheet Mask with Retinol and Bakuchi for Fine Lines and Wrinkles - 25 g,3,0,0,100,0,0
88,Charcoal Face Wash and Scrub Combo,1,0,0,100,0,0
89,Hair Fall Reduction Combo,1,0,0,100,0,0
90,Onion Shampoo and Oil Combo,4,0,0,100,0,0
91,Spotless Skin Combo: Ubtan Facewash - 100ml and Bye Bye Blemishes Face Cream - 30ml,4,0,0,100,0,0
92,Tea Tree Face Scrub with Tea Tree and Neem for Skin Purification - 100g,1,0,0,100,0,0
93,Plant-Based Diaper Pants for Babies ï¿½ï¿½ï¿½ 12-17 kg (Size XL - 30 Di,1,0,0,100,0,0
94,Plant-Based Diaper Pants for Babies ï¿½ï¿½ï¿½ 3-5 kg (Size NB - 40 Di,2,0,0,100,0,0
95,Acne Marks Reduction Kit,3,0,0,100,0,0
96,Onion Scalp Serum with Onion and Niacinamide for Healthy Hair Growth - 50ml,2,0,0,100,0,0
97,Vitamin C Body Lotion with Vitamin C and Honey for Radiant Skin - 400 ml  ,2,0,0,100,0,0
98,Ubtan Body Lotion with Turmeric and Kokum Butter for Glowing Skin - 400 ml,1,0,0,100,0,0
99,CoCo Body Lotion With Coffee and Cocoa for Intense Moisturization - 400ml ,1,0,0,100,0,0
100,Rose Body Lotion with Rose Water and Milk For Deep Hydration - 400ml,2,0,0,100,0,0
101,Mamaearth Fruit Punch Toothpaste,2,0,0,100,0,0
102,Vitamin C Foaming Face Wash with Vitamin C and Turmeric for Skin Illumination - 150ml,7,0,2,77.77777778,0,22.22222222
103,Anti-Hair Fall Spa Kit,1,0,0,100,0,0
104,Rose Face Toner with Witch Hazel and Rose Water for Pore Tightening - 200ml,3,0,0,100,0,0
105,Ubtan Hand Cream with Turmeric and Honey for Deep Moisturization - 50g,1,0,0,100,0,0
106,Intense Hair Treatment Kit,1,0,0,100,0,0
107,Vitamin C Face Milk with Vitamin C and Peach for Skin Illumination - 100 ml,2,0,0,100,0,0
108,Ubtan Body Scrub with Turmeric and Saffron for Tan Removal - 200 g,3,0,0,100,0,0
109,Neem Body Scrub with Neem and Tulsi for Skin Purification - 200 g,1,0,0,100,0,0
110,BhringAmla Conditioner with Bhringraj and Amla for Intense Hair Treatment - 250ml,1,0,0,100,0,0
111,BhringAmla Hair Oil with Bhringraj and Amla for Intense Hair Treatment - 250ml,1,2,4,14.28571429,28.57142857,57.14285714
112,Tan Removal Regimen Kit,1,0,1,50,0,50
113,HydraGel Indian Sunscreen with Aloe Vera and Raspberry for Sun Protection - 50 g,1,0,0,100,0,0
114,Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination - 100ml,6,0,1,85.71428571,0,14.28571429
115,Vitamin C Day Cream with Vitamin C and SPF 20 for Skin Illumination - 50g,2,0,0,100,0,0
116,Vitamin C Face Mask With Vitamin C and Kaolin Clay for Skin Illumination - 100 g,1,0,0,100,0,0
117,CoCo Face Wash with Coffee and Cocoa for Skin Awakening - 100ml,2,0,0,100,0,0
118,Vitamin C Sleeping Mask with Aloe Vera for Skin Illumination - 100 g,3,1,0,75,25,0
119,Argan Shampoo with Argan and Apple Cider Vinegar for Frizz-free and Stronger Hair - 250 ml,1,0,0,100,0,0
120,Nourishing Hair Oil for Babies with Almond and Avocado Oil - 200 ml,3,0,0,100,0,0
121,"Onion Hair Oil for Hair Regrowth and Hair Fall Control, 250ml",1,0,0,100,0,0
122,"Charcoal Face Scrub For Oily Skin and Normal skin, with Charcoal and Walnut for Deep Exfoliation - 100g",1,0,0,100,0,0
123,Ubtan Face Scrub with Turmeric and Walnut for Tan Removal - 100g,6,0,0,100,0,0
124,"Vitamin C Face Toner with Vitamin C and Cucumber for Pore Tightening, 200 ml",9,1,0,90,10,0
125,Aloe Vera Gel for Skin and Hair - 300ml,12,1,0,92.30769231,7.692307692,0
126,"Onion Hair Serum with Onion and Biotin for Strong, Frizz-Free Hair - 100 ml",4,0,0,100,0,0
127, Skin Correct Face Serum with Niacinamide and Ginger Extract for Acne Marks and Scars - 30 ml,4,0,0,100,0,0
128,"Tea Tree Facewash for acne and pimples, Pack Of 2 ",1,0,0,100,0,0
129,Skin Illuminate Face Serum for Radiant Skin with Vitamin C and Turmeric - 30 g,8,0,0,100,0,0
130,Bye Bye Dark Circles Eye Cream with Cucumber and Peptides for Dark Circles - 20ml,5,0,0,100,0,0
131,Onion Shampoo with Onion & Plant Keratin for Hair Fall Control - 400ml,2,0,0,100,0,0
132,"Skin Plump Serum For Face Glow, with Hyaluronic Acid and Rosehip Oil for Ageless Skin - 30ml",0,1,0,0,100,0
133,Tea Tree Shampoo for Dandruff Free Hair - 250ml,2,0,0,100,0,0
134,Wedding Glow Skincare Kit,4,0,0,100,0,0
135,"Anti-Pollution Daily Face Cream, for Dry and Oily Skin, with Turmeric and Pollustop For a Bright Glowing Skin  - 80ml",2,0,0,100,0,0
136,Onion Conditioner for Hair Fall Control - 250ml,3,0,0,100,0,0
137,Onion Shampoo with Onion and Plant Keratin for Hair Fall Control - 250ml,21,2,0,91.30434783,8.695652174,0
138,"Onion Hair Oil for Hair Regrowth and Hair Fall Control with Redensyl, 150ml",36,1,0,97.2972973,2.702702703,0
139,Mamaearth Epsom Bath Salt for Relaxation and Pain Relief - 200 g,1,0,0,100,0,0
140,"Onion Hair Mask, For Hair Fall Control, With Onion Oil and Organic Bamboo Vinegar, 200ml",3,0,0,100,0,0
141,Hair Fall Control Kit,1,0,0,100,0,0
142,Bye Bye Blemishes Face Cream for Reducing Pigmentation and Blemishes with Mulberry Extract and Vitamin C -30ml,13,1,0,92.85714286,7.142857143,0
143," Castor Oil for Healthier Skin, Hair and Nails with 100% Pure and Natural Cold-Pressed Oil, 150ml",6,2,0,75,25,0
144,"Hair Regrowth Combo : Onion Shampoo, 250ml and Onion Conditioner, 250ml",3,0,1,75,0,25
