,PRODUCT_NAME,State
10,Natural Henna Combo ,"{'Madhya Pradesh': 1, 'Gujarat': 1, 'Andhra Pradesh': 3, 'Rajasthan': 1, 'Himachal Pradesh': 0, 'Maharashtra': 4, 'Karnataka': 0, 'Uttarakhand': 0, 'Chandigarh': 1, 'Arunachal Pradesh': 0, 'Haryana': 1, 'West Bengal': 0, 'Punjab': 0, 'Uttar Pradesh': 1, 'National Capital Territory of Delhi': 2, 'Goa': 2, 'Odisha': 0, 'Jammu and Kashmir': 0, 'Jharkhand': 0, 'Tamil Nadu': 0}"
11,Henna Paste 200 g (Pack of 2),"{'Madhya Pradesh': 7, 'Gujarat': 2, 'Andhra Pradesh': 2, 'Rajasthan': 2, 'Himachal Pradesh': 1, 'Maharashtra': 4, 'Karnataka': 1, 'Uttarakhand': 1, 'Chandigarh': 1, 'Arunachal Pradesh': 2, 'Haryana': 1, 'West Bengal': 1, 'Punjab': 5, 'Uttar Pradesh': 5, 'National Capital Territory of Delhi': 2, 'Goa': 0, 'Odisha': 0, 'Jammu and Kashmir': 0, 'Jharkhand': 0, 'Tamil Nadu': 0}"
12,Ubtan Face Wash 150 ml (Pack of 2),"{'Madhya Pradesh': 4, 'Gujarat': 0, 'Andhra Pradesh': 0, 'Rajasthan': 3, 'Himachal Pradesh': 1, 'Maharashtra': 3, 'Karnataka': 2, 'Uttarakhand': 1, 'Chandigarh': 1, 'Arunachal Pradesh': 2, 'Haryana': 1, 'West Bengal': 1, 'Punjab': 3, 'Uttar Pradesh': 3, 'National Capital Territory of Delhi': 4, 'Goa': 0, 'Odisha': 1, 'Jammu and Kashmir': 0, 'Jharkhand': 0, 'Tamil Nadu': 2}"
13,Charcoal Black Long Stay Kajal 0.35 g - Pack of 2,"{'Madhya Pradesh': 0, 'Gujarat': 0, 'Andhra Pradesh': 1, 'Rajasthan': 1, 'Himachal Pradesh': 0, 'Maharashtra': 4, 'Karnataka': 1, 'Uttarakhand': 3, 'Chandigarh': 0, 'Arunachal Pradesh': 0, 'Haryana': 4, 'West Bengal': 3, 'Punjab': 2, 'Uttar Pradesh': 2, 'National Capital Territory of Delhi': 0, 'Goa': 1, 'Odisha': 0, 'Jammu and Kashmir': 0, 'Jharkhand': 1, 'Tamil Nadu': 0}"
14,Coco Soft Body Wash For Babies With Coconut Milk & Turmeric - 400 ml,"{'Madhya Pradesh': 0, 'Gujarat': 0, 'Andhra Pradesh': 0, 'Rajasthan': 0, 'Himachal Pradesh': 0, 'Maharashtra': 1, 'Karnataka': 2, 'Uttarakhand': 2, 'Chandigarh': 0, 'Arunachal Pradesh': 0, 'Haryana': 0, 'West Bengal': 0, 'Punjab': 0, 'Uttar Pradesh': 0, 'National Capital Territory of Delhi': 2, 'Goa': 0, 'Odisha': 1, 'Jammu and Kashmir': 0, 'Jharkhand': 0, 'Tamil Nadu': 0}"
15,Coco Soft Body Lotion with Coconut Milk & Turmeric for 24-Hour Moisturization - 400 ml,"{'Madhya Pradesh': 0, 'Gujarat': 0, 'Andhra Pradesh': 0, 'Rajasthan': 0, 'Himachal Pradesh': 0, 'Maharashtra': 0, 'Karnataka': 0, 'Uttarakhand': 1, 'Chandigarh': 0, 'Arunachal Pradesh': 0, 'Haryana': 0, 'West Bengal': 0, 'Punjab': 0, 'Uttar Pradesh': 2, 'National Capital Territory of Delhi': 1, 'Goa': 0, 'Odisha': 0, 'Jammu and Kashmir': 0, 'Jharkhand': 0, 'Tamil Nadu': 0}"
16,Coco Soft Face Cream With Coconut Milk & Turmeric For Babies - 60 g,"{'Madhya Pradesh': 0, 'Gujarat': 0, 'Andhra Pradesh': 0, 'Rajasthan': 0, 'Himachal Pradesh': 0, 'Maharashtra': 1, 'Karnataka': 0, 'Uttarakhand': 0, 'Chandigarh': 1, 'Arunachal Pradesh': 0, 'Haryana': 0, 'West Bengal': 0, 'Punjab': 0, 'Uttar Pradesh': 1, 'National Capital Territory of Delhi': 0, 'Goa': 0, 'Odisha': 0, 'Jammu and Kashmir': 0, 'Jharkhand': 0, 'Tamil Nadu': 0}"
17,Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination - 80ml,"{'Madhya Pradesh': 2, 'Gujarat': 0, 'Andhra Pradesh': 1, 'Rajasthan': 3, 'Himachal Pradesh': 1, 'Maharashtra': 6, 'Karnataka': 0, 'Uttarakhand': 0, 'Chandigarh': 3, 'Arunachal Pradesh': 3, 'Haryana': 4, 'West Bengal': 2, 'Punjab': 3, 'Uttar Pradesh': 3, 'National Capital Territory of Delhi': 2, 'Goa': 1, 'Odisha': 1, 'Jammu and Kashmir': 0, 'Jharkhand': 2, 'Tamil Nadu': 0}"
18,Coco Soft Bathing Bar for Babies with Coconut Oil & Turmeric for Babies - Pack of 2*75g,"{'Madhya Pradesh': 0, 'Gujarat': 1, 'Andhra Pradesh': 0, 'Rajasthan': 1, 'Himachal Pradesh': 1, 'Maharashtra': 3, 'Karnataka': 0, 'Uttarakhand': 1, 'Chandigarh': 0, 'Arunachal Pradesh': 1, 'Haryana': 0, 'West Bengal': 0, 'Punjab': 1, 'Uttar Pradesh': 2, 'National Capital Territory of Delhi': 2, 'Goa': 1, 'Odisha': 0, 'Jammu and Kashmir': 0, 'Jharkhand': 0, 'Tamil Nadu': 0}"
19,Coco Soft Massage Oil with Coconut & Turmeric Oil for Babies - 200 ml,"{'Madhya Pradesh': 3, 'Gujarat': 2, 'Andhra Pradesh': 0, 'Rajasthan': 1, 'Himachal Pradesh': 0, 'Maharashtra': 1, 'Karnataka': 0, 'Uttarakhand': 1, 'Chandigarh': 1, 'Arunachal Pradesh': 2, 'Haryana': 1, 'West Bengal': 2, 'Punjab': 1, 'Uttar Pradesh': 4, 'National Capital Territory of Delhi': 1, 'Goa': 0, 'Odisha': 1, 'Jammu and Kashmir': 0, 'Jharkhand': 0, 'Tamil Nadu': 0}"
