,PRODUCT_NAME,sentiment_positive_num,sentiment_neutral_num,sentiment_negative_num,sentiment_positive_percent,sentiment_neutral_percent,sentiment_negative_percent
150,Aqua Glow Face Wash With Himalayan Thermal Water and Hyaluronic Acid for Intense Hydration - 100ml,133,8,3,92.36111111,5.555555556,2.083333333
151,Vitamin C Night Cream with Vitamin C and Gotu Kola for Skin Illumination - 50g,48,1,0,97.95918367,2.040816327,0
152,Skin Illuminate Face Serum for Radiant Skin with Vitamin C and Turmeric - 15g ,104,8,0,92.85714286,7.142857143,0
153,Apple Cider Vinegar Hair Mask with Organic Apple Cider Vinegar and Biotin for Long and Shiny Hair - 200 g,19,1,1,90.47619048,4.761904762,4.761904762
154,Rice Water Hair Mask with Rice Water and Keratin For Smoothening Hair and Damage Repair - 200 g,55,3,0,94.82758621,5.172413793,0
155,Tea Tree Spot Gel Face Cream with Tea Tree and Salicylic Acid For Acne and Pimples - 15 g ,145,10,2,92.3566879,6.369426752,1.27388535
156,Apple Cider Vinegar Conditioner with Organic Apple Cider Vinegar and Biotin for Long and Shiny Hair - 250ml,15,3,1,78.94736842,15.78947368,5.263157895
157,Apple Cider Vinegar Shampoo with Organic Apple Cider Vinegar and Biotin for Long and Shiny Hair - 250ml,40,5,0,88.88888889,11.11111111,0
158,Damage Repair Kit,72,9,1,87.80487805,10.97560976,1.219512195
159,Damage Repair Combo,31,5,0,86.11111111,13.88888889,0
160,Vitamin C Ultra Light Gel Oil-Free Moisturizer with Vitamin C and Aloe Vera Water for Glowing Hydration - 200 ml,96,3,0,96.96969697,3.03030303,0
161,Ubtan Ultra Light Gel Oil-Free Moisturizer with Turmeric and Saffron for Deep Hydration - 200 ml,173,6,0,96.64804469,3.351955307,0
162,Original Orange Body Wash For Kids with Orange and Oat Protein - 300 ml,39,1,0,97.5,2.5,0
163,Brave Blueberry Body Wash For Kids with Blueberry and Oat Protein - 300 ml,19,0,0,100,0,0
164,Agent Apple Body Wash for Kids with Apple and Oat Protein - 300 ml,19,0,0,100,0,0
165,Major Mango Body Wash For Kids with Mango and Oat Protein - 300 ml,19,0,0,100,0,0
166,Apple Cider Vinegar Foaming Face Wash with Apple Cider Vinegar and Aloe Vera Water for Deep Cleansing - 150ml,125,10,0,92.59259259,7.407407407,0
167,Ubtan Foaming Face Wash with Turmeric and Saffron for Tan Removal - 150ml,277,15,1,94.53924915,5.119453925,0.341296928
168,Body Wash Combo: Vitamin C Body Wash and Charcoal Body Wash,51,2,0,96.22641509,3.773584906,0
169,Super Strawberry Body Wash for Kids with Strawberry and Oat Protein - 300 ml,48,0,0,100,0,0
170,"Vitamin C Face Scrub for Glowing Skin, With Vitamin C and Walnut For Skin Illumination - 100 g",55,9,1,84.61538462,13.84615385,1.538461538
171,Rice Water Shampoo For Damage Repair - 250ml,164,7,4,93.71428571,4,2.285714286
172,Rice Hair Oil with Rice Bran and Coconut Oil For Damage Repair - 150ml,63,4,0,94.02985075,5.970149254,0
173,"Rice Water Conditioner with Rice Water and Keratin for Damaged, Dry and Frizzy Hair - 250 ml",74,3,0,96.1038961,3.896103896,0
174,"Tea Tree Face Mask for Acne, with Tea Tree and Salicylic Acid for Acne and Pimples - 100g",64,5,0,92.75362319,7.246376812,0
175,Tea Tree Body Wash With Tea Tree and Neem For Skin Purification - 300 ml ,78,2,0,97.5,2.5,0
176,Ubtan Body Wash With Turmeric and Saffron for Glowing Skin - 300 ml,183,9,1,94.81865285,4.663212435,0.518134715
177,CoCo Body Wash With Coffee and Cocoa For Skin Awakening - 300 ml  ,39,3,1,90.69767442,6.976744186,2.325581395
178,Charcoal Body Wash With Charcoal and Mint for Deep Cleansing - 300 ml,87,8,2,89.69072165,8.24742268,2.06185567
179,Vitamin C Body Wash with Vitamin C and Honey for Skin Illumination - 300ml,134,2,0,98.52941176,1.470588235,0
180,"Retinol Night Cream For Women with Retinol and Bakuchi for Anti Aging, Fine Lines and Wrinkles - 50 g",67,4,0,94.36619718,5.633802817,0
181,Retinol Face Wash with Retinol and Bakuchi for Fine Lines and Wrinkles - 100 ml,66,10,2,84.61538462,12.82051282,2.564102564
182,Niacin Face Toner with Niacinamide and Witch Hazel for Acne and Open Pores - 200 ml,87,1,2,96.66666667,1.111111111,2.222222222
183,Tea Tree Foaming Face Wash with Tea Tree and Salicylic Acid for Acne and Pimples - 150ml,534,33,6,93.19371728,5.759162304,1.047120419
184,Tea Tree Face Serum for Acne and Pimples - 30 ml,138,10,2,92,6.666666667,1.333333333
185,Retinol Face Serum,64,1,0,98.46153846,1.538461538,0
186,Vitamin C Skincare Regimen Kit,49,4,0,92.45283019,7.547169811,0
187,Tea Tree Hair Oil with Tea Tree and Ginger Oil for Dandruff Free Hair - 250ml,110,7,1,93.22033898,5.93220339,0.847457627
188,Argan Hair Oil with Argan Oil and Avocado Oil for Frizz-Free and Stronger Hair - 250 ml,57,3,0,95,5,0
189,Ubtan Night Face Mask with Turmeric and Niacinamide for Glowing Skin - 100 g,105,4,0,96.33027523,3.669724771,0
190,Essential Anti-Hair Fall Kit,150,13,2,90.90909091,7.878787879,1.212121212
191,"Nourishing Bathing Bar Soap For Kids - ( Pack of 5, 75g Each)",112,5,0,95.72649573,4.273504274,0
192,Hyaluronic Bamboo Sheet Mask with Rosehip Oil for Soft and Plump Skin - 25 g,27,1,1,93.10344828,3.448275862,3.448275862
193,Retinol Bamboo Sheet Mask with Retinol and Bakuchi for Fine Lines and Wrinkles - 25 g,36,5,0,87.80487805,12.19512195,0
194,Ubtan Bamboo Sheet Mask with Turmeric and Saffron for Skin Brightening - 25 g,58,3,0,95.08196721,4.918032787,0
195,Rice Water Bamboo Sheet Mask with Rice Water and Coconut Milk for Deep Hydration - 25 g ,38,1,0,97.43589744,2.564102564,0
196,Rose Water Bamboo Sheet Mask with Rose Water and Milk for Glowing Skin - 25 g,49,2,0,96.07843137,3.921568627,0
197,Vitamin C Bamboo Sheet Mask with Vitamin C and Honey for Skin Illumination - 25 g,44,0,1,97.77777778,0,2.222222222
198,Charcoal Face Wash and Scrub Combo,37,3,0,92.5,7.5,0
199,Onion Shampoo and Onion Hair Serum Combo,30,1,0,96.77419355,3.225806452,0
200,Hair Fall Reduction Combo,115,12,2,89.14728682,9.302325581,1.550387597
201,Onion Shampoo and Oil Combo,101,10,0,90.99099099,9.009009009,0
202,Onion Shampoo for Hair Growth and Hair Fall Control (250 ml) - Pack Of 2,61,2,2,93.84615385,3.076923077,3.076923077
203,Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination - 250ml,234,15,2,93.22709163,5.976095618,0.796812749
204,Tea Tree Face Wash with Neem for Acne and Pimples - 250ml,174,17,0,91.09947644,8.90052356,0
205,Spotless Skin Combo: Ubtan Facewash - 100ml and Bye Bye Blemishes Face Cream - 30ml,55,4,0,93.22033898,6.779661017,0
206,Tea Tree Face Scrub with Tea Tree and Neem for Skin Purification - 100g,54,9,0,85.71428571,14.28571429,0
207,Plant-Based Diaper Pants for Babies – 12-17 kg (Size XL - 30 Diapers),27,1,0,96.42857143,3.571428571,0
208,Plant-Based Diaper Pants for Babies – 9-14 kg (Size L - 30 Diapers),32,1,0,96.96969697,3.03030303,0
209,Plant-Based Diaper Pants for Babies – 7-12 kg (Size M - 30 Diapers),35,0,0,100,0,0
210,Plant-Based Diaper Pants for Babies – 4-6 kg (Size S - 30 Diapers),36,1,0,97.2972973,2.702702703,0
211,Plant-Based Diaper Pants for Babies – 3-5 kg (Size NB - 40 Diapers),18,1,0,94.73684211,5.263157895,0
212,Acne Marks Reduction Kit,158,8,5,92.39766082,4.678362573,2.923976608
213,Onion Scalp Serum with Onion and Niacinamide for Healthy Hair Growth - 50ml,103,1,1,98.0952381,0.952380952,0.952380952
214,Vitamin C Body Lotion with Vitamin C and Honey for Radiant Skin - 400 ml  ,100,2,1,97.08737864,1.941747573,0.970873786
215,Ubtan Body Lotion with Turmeric and Kokum Butter for Glowing Skin - 400 ml,90,6,1,92.78350515,6.18556701,1.030927835
216,CoCo Body Lotion With Coffee and Cocoa for Intense Moisturization - 400ml ,83,3,2,94.31818182,3.409090909,2.272727273
217,Rose Body Lotion with Rose Water and Milk For Deep Hydration - 400ml,100,3,1,96.15384615,2.884615385,0.961538462
218,Mamaearth Fruit Punch Toothpaste,38,1,0,97.43589744,2.564102564,0
219,Vitamin C Foaming Face Wash with Vitamin C and Turmeric for Skin Illumination - 150ml,1117,69,7,93.62950545,5.783738474,0.586756077
220,Anti-Hair Fall Spa Kit,454,30,3,93.2238193,6.160164271,0.616016427
221,Rose Face Toner with Witch Hazel and Rose Water for Pore Tightening - 200ml,64,1,0,98.46153846,1.538461538,0
222,Ubtan Hand Cream with Turmeric and Honey for Deep Moisturization - 50g,40,2,0,95.23809524,4.761904762,0
223,CoCo Hand Cream with Coffee and Cocoa for Rich Moisturization - 50g,33,0,0,100,0,0
224,Micellar Water Foaming Makeup Remover with Rose Water and Glycolic Acid for Makeup Cleansing - 150 ml,48,2,0,96,4,0
225,Intense Hair Treatment Kit,51,3,0,94.44444444,5.555555556,0
226,Vitamin C Face Milk with Vitamin C and Peach for Skin Illumination - 100 ml,68,1,0,98.55072464,1.449275362,0
227,Tan Removal Combo,20,4,0,83.33333333,16.66666667,0
228,Argan Shampoo and Conditioner Combo,26,0,0,100,0,0
229,BhringAmla Shampoo and Conditioner Combo,20,0,2,90.90909091,0,9.090909091
230,Ubtan Body Scrub with Turmeric and Saffron for Tan Removal - 200 g,84,7,1,91.30434783,7.608695652,1.086956522
231,Neem Body Scrub with Neem and Tulsi for Skin Purification - 200 g,42,1,0,97.6744186,2.325581395,0
232,Vitamin C Day Regimen Combo,24,1,0,96,4,0
233,BhringAmla Conditioner with Bhringraj and Amla for Intense Hair Treatment - 250ml,23,0,0,100,0,0
234,BhringAmla Shampoo with Bhringraj and Amla for Intense Hair Treatment - 250 ml,127,1,2,97.69230769,0.769230769,1.538461538
235,BhringAmla Hair Oil with Bhringraj and Amla for Intense Hair Treatment - 250ml,143,7,6,91.66666667,4.487179487,3.846153846
236,Tan Removal Regimen Kit,117,8,2,92.12598425,6.299212598,1.57480315
237,BhringAmla Hair Mask with Bhringraj and Amla for Intense Hair Treatment - 200 g,61,1,1,96.82539683,1.587301587,1.587301587
238,Dusting Powder with Organic Oatmeal and Arrowroot Powder for Babies - 300g,61,0,2,96.82539683,0,3.174603175
239,HydraGel Indian Sunscreen with Aloe Vera and Raspberry for Sun Protection - 50 g,138,13,1,90.78947368,8.552631579,0.657894737
240,Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination - 100ml,612,46,2,92.72727273,6.96969697,0.303030303
241,Vitamin C Day Cream with Vitamin C and SPF 20 for Skin Illumination - 50g,210,9,1,95.45454545,4.090909091,0.454545455
242,Vitamin C Face Mask With Vitamin C and Kaolin Clay for Skin Illumination - 100 g,168,7,1,95.45454545,3.977272727,0.568181818
243,CoCo Face Wash with Coffee and Cocoa for Skin Awakening - 100ml,132,2,0,98.50746269,1.492537313,0
244,CoCo Face Scrub with Coffee and Cocoa for Rich Exfoliation - 100g,65,1,2,95.58823529,1.470588235,2.941176471
245,CoCo Face Mask with Coffee and Cocoa for Skin Awakening - 100g,76,1,1,97.43589744,1.282051282,1.282051282
246,Vitamin C Sleeping Mask with Aloe Vera for Skin Illumination - 100 g,237,20,1,91.86046512,7.751937984,0.387596899
247,Argan Conditioner with Argan and Apple Cider Vinegar for Frizz-Free and Stronger Hair - 250ml,39,0,1,97.5,0,2.5
248,Argan Shampoo with Argan and Apple Cider Vinegar for Frizz-free and Stronger Hair - 250 ml,107,1,1,98.16513761,0.917431193,0.917431193
249,"Soothing Massage Oil for Babies with Sesame, Almond and Jojoba Oil - 200ml",85,2,1,96.59090909,2.272727273,1.136363636
250,Nourishing Hair Oil for Babies with Almond and Avocado Oil - 200 ml,64,2,0,96.96969697,3.03030303,0
251,Onion Shampoo 400ml and Onion Conditioner 250ml Combo,26,1,1,92.85714286,3.571428571,3.571428571
252,Onion Hair Serum and Onion Hair Oil Combo,30,3,0,90.90909091,9.090909091,0
253,Tea Tree Shampoo and Onion Hair Oil Combo,25,1,0,96.15384615,3.846153846,0
254,Deeply Nourishing Body Wash for Babies 400ml and Gentle Cleansing Shampoo 400ml Combo,13,0,0,100,0,0
255,Moisturizing Bathing Bar (Pack of 2) and Gentle Cleansing Shampoo 200ml Combo,17,0,1,94.44444444,0,5.555555556
256,Deeply Nourishing Body Wash for Babies 200ml and Gentle Cleansing Shampoo 200ml Combo,19,0,0,100,0,0
257,Gentle Cleansing Shampoo 200ml (Pack of 2),16,0,0,100,0,0
258,"Onion Hair Oil for Hair Regrowth and Hair Fall Control, 250ml",510,49,6,90.26548673,8.672566372,1.061946903
259,"Charcoal Face Scrub For Oily Skin and Normal skin, with Charcoal and Walnut for Deep Exfoliation - 100g",93,2,0,97.89473684,2.105263158,0
260,Ubtan Face Scrub with Turmeric and Walnut for Tan Removal - 100g,135,16,2,88.23529412,10.45751634,1.307189542
261,"Vitamin C Face Toner with Vitamin C and Cucumber for Pore Tightening, 200 ml",223,11,3,94.092827,4.641350211,1.265822785
262,Aloe Vera Gel for Skin and Hair - 300ml,386,19,5,94.14634146,4.634146341,1.219512195
263,"Onion Hair Serum with Onion and Biotin for Strong, Frizz-Free Hair - 100 ml",141,9,2,92.76315789,5.921052632,1.315789474
264,Tea Tree Face Wash and Charcoal Face Wash Combo,20,0,0,100,0,0
265, Skin Correct Face Serum with Niacinamide and Ginger Extract for Acne Marks and Scars - 30 ml,424,31,3,92.57641921,6.768558952,0.655021834
266," Ubtan Facewash for tan removal, Pack Of 2 ",163,14,0,92.09039548,7.90960452,0
267,"Tea Tree Facewash for acne and pimples, Pack Of 2 ",68,2,0,97.14285714,2.857142857,0
268,Skin Illuminate Face Serum for Radiant Skin with Vitamin C and Turmeric - 30 g,270,17,5,92.46575342,5.821917808,1.712328767
269,Bye Bye Dark Circles Eye Cream with Cucumber and Peptides for Dark Circles - 20ml,328,26,8,90.60773481,7.182320442,2.209944751
270,Onion Shampoo with Onion & Plant Keratin for Hair Fall Control - 400ml,229,21,2,90.87301587,8.333333333,0.793650794
271,"Onion Conditioner for Hair Growth and Hair Fall Control with Onion and Coconut, 400ml",27,1,0,96.42857143,3.571428571,0
